time,vitorias_mandante,vitorias_visitante,total_vitorias,jogos_mandante,jogos_visitante,total_jogos,percentual_vitorias
America-MG,32,10,42,72,72,144,29.17
Atletico-GO,26,22,48,91,91,182,26.37
Atletico-MG,131,61,192,205,204,409,46.94
Atletico-PR,106,47,153,186,186,372,41.13
Avai-SC,20,11,31,73,71,144,21.53
Bahia-BA,62,30,92,152,152,304,30.26
Botafogo-RJ,73,41,114,167,167,334,34.13
Ceara-CE,35,16,51,92,90,182,28.02
Chapecoense-SC,48,22,70,132,133,265,26.42
Corinthians-SP,115,57,172,205,205,410,41.95
Coritiba-PR,66,21,87,148,147,295,29.49
Criciuma-SC,15,5,20,38,38,76,26.32
Cruzeiro-MG,80,47,127,152,152,304,41.78
Csa-AL,6,2,8,19,19,38,21.05
Cuiaba-MT,11,6,17,33,35,68,25.0
Figueirense-SC,26,13,39,76,76,152,25.66
Flamengo-RJ,120,73,193,205,205,410,47.07
Fluminense-RJ,102,59,161,205,205,410,39.27
Fortaleza-CE,34,18,52,71,73,144,36.11
Goias-GO,49,23,72,110,110,220,32.73
Gremio-RS,114,56,170,190,190,380,44.74
Internacional-RS,108,46,154,186,186,372,41.4
Joinville-SC,6,1,7,19,19,38,18.42
Juventude-RS,11,3,14,34,34,68,20.59
Nautico-PE,16,3,19,38,38,76,25.0
Palmeiras-SP,107,69,176,186,186,372,47.31
Parana-PR,3,1,4,19,19,38,10.53
Ponte Preta-SP,46,13,59,95,95,190,31.05
Portuguesa-SP,16,6,22,38,38,76,28.95
Red Bull Bragantino-SP,24,12,36,53,53,106,33.96
Santa Cruz-PE,7,1,8,19,19,38,21.05
Santos-SP,118,50,168,205,205,410,40.98
Sao Paulo-SP,107,63,170,204,205,409,41.56
Sport-PE,68,28,96,152,152,304,31.58
Vasco da Gama-RJ,53,31,84,133,133,266,31.58
Vitoria-BA,35,23,58,95,95,190,30.53
