time,gols_marcados,gols_sofridos,saldo_gols
America-MG,121,172,-51
Atletico-GO,178,251,-73
Atletico-MG,612,462,150
Atletico-PR,454,398,56
Avai-SC,113,217,-104
Bahia-BA,328,371,-43
Botafogo-RJ,366,407,-41
Ceara-CE,189,200,-11
Chapecoense-SC,261,359,-98
Corinthians-SP,493,374,119
Coritiba-PR,311,386,-75
Criciuma-SC,77,119,-42
Cruzeiro-MG,391,329,62
Csa-AL,24,58,-34
Cuiaba-MT,56,69,-13
Figueirense-SC,142,219,-77
Flamengo-RJ,604,443,161
Fluminense-RJ,511,477,34
Fortaleza-CE,158,170,-12
Goias-GO,243,296,-53
Gremio-RS,491,361,130
Internacional-RS,466,383,83
Joinville-SC,26,48,-22
Juventude-RS,59,97,-38
Nautico-PE,66,130,-64
Palmeiras-SP,542,399,143
Parana-PR,18,57,-39
Ponte Preta-SP,200,243,-43
Portuguesa-SP,89,87,2
Red Bull Bragantino-SP,145,125,20
Santa Cruz-PE,45,69,-24
Santos-SP,528,417,111
Sao Paulo-SP,518,425,93
Sport-PE,313,397,-84
Vasco da Gama-RJ,280,355,-75
Vitoria-BA,233,281,-48
